atm_id,date,total_withdrawals,total_deposits,cash_demand_next_day
ATM_0001,2023-07-07,49775,10730,46350
ATM_0001,2023-07-11,45861,9091,33737
ATM_0001,2023-07-14,59784,1843,52114
ATM_0001,2023-07-28,41211,0,33454
ATM_0001,2023-08-03,52937,5108,51470
ATM_0001,2023-08-10,47349,13984,38164
ATM_0001,2023-08-14,47716,14768,38145
ATM_0001,2023-08-21,50654,10699,34910
ATM_0001,2023-08-25,68112,5930,75569
ATM_0001,2023-09-12,32282,7633,33517
ATM_0001,2023-09-14,25712,13148,15046
ATM_0001,2023-09-15,49108,8267,36726
ATM_0001,2023-09-20,53723,11638,43927
ATM_0001,2023-09-24,23668,6524,13731
ATM_0001,2023-10-04,54674,13226,41130
ATM_0001,2023-10-05,45827,4766,41215
ATM_0001,2023-10-13,53650,7805,40505
ATM_0001,2023-10-15,43471,2539,47614
ATM_0001,2023-10-28,74503,4793,79106
ATM_0001,2023-11-07,54163,11648,37534
ATM_0001,2023-11-08,49924,7783,47005
ATM_0001,2023-11-12,47497,9940,43235
ATM_0001,2023-11-18,63091,11815,47421
ATM_0001,2023-11-22,40879,4927,29752
ATM_0001,2023-11-29,43149,16922,34693
ATM_0001,2023-11-30,50331,0,54733
ATM_0001,2023-12-06,68912,13083,51472
ATM_0001,2023-12-10,35959,11511,25628
ATM_0001,2023-12-13,61831,15452,55588
ATM_0001,2023-12-16,43862,5669,36225
ATM_0002,2022-01-05,40311,15130,21329
ATM_0002,2022-01-14,47941,11447,43364
ATM_0002,2022-01-17,52184,11142,38255
ATM_0002,2022-01-19,51562,14581,39257
ATM_0002,2022-02-03,75579,25538,69132
ATM_0002,2022-02-19,47982,15408,35023
ATM_0002,2022-03-18,57186,4139,65383
ATM_0002,2022-03-27,48192,4468,52299
ATM_0002,2022-04-01,39072,13211,25910
ATM_0002,2022-04-13,52996,10977,42756
ATM_0002,2022-04-19,40549,6329,34483
ATM_0002,2022-04-20,68247,8425,55587
ATM_0002,2022-04-27,49862,12377,39235
ATM_0002,2022-04-28,29780,4095,25837
ATM_0002,2022-05-02,45058,3179,33276
ATM_0002,2022-05-18,31249,11528,16785
ATM_0002,2022-05-24,82796,20244,69958
ATM_0002,2022-06-01,60482,12104,53305
ATM_0002,2022-06-14,48163,1914,55956
ATM_0002,2022-06-15,56718,15991,36918
ATM_0002,2022-06-22,40519,4166,35612
ATM_0002,2022-06-24,26962,679,29535
ATM_0002,2022-07-03,81832,15162,63791
ATM_0002,2022-07-04,50521,1014,54456
ATM_0002,2022-07-22,50894,928,45059
ATM_0002,2022-07-28,42814,10029,36764
ATM_0002,2022-08-01,57143,6409,44297
ATM_0002,2022-08-14,54620,8041,42174
ATM_0002,2022-08-31,47990,12526,46207
ATM_0002,2022-09-07,59225,10240,47139
ATM_0002,2022-09-12,44240,10641,39089
ATM_0002,2022-09-15,42254,9232,46059
ATM_0002,2022-09-17,94713,41256,68911
ATM_0002,2022-09-18,53533,10843,43069
ATM_0002,2022-09-22,64854,8294,65740
ATM_0002,2022-09-23,38627,8856,37587
ATM_0002,2022-09-28,73941,7277,52782
ATM_0002,2022-10-11,9645,8638,5027
ATM_0002,2022-10-27,31662,12638,19649
ATM_0002,2022-10-29,48766,2162,53762
ATM_0002,2022-11-04,39257,10956,37423
ATM_0002,2022-11-06,62262,12446,52317
ATM_0002,2022-11-18,57812,10306,65044
ATM_0002,2022-11-23,39173,10884,31889
ATM_0002,2022-12-12,37618,3244,39659
ATM_0002,2022-12-19,75033,20317,50215
ATM_0002,2022-12-20,57300,3414,56317
ATM_0002,2022-12-24,35593,5946,41901
ATM_0002,2023-01-05,63615,27132,51712
ATM_0002,2023-01-06,68668,8064,70778
ATM_0002,2023-01-09,62567,13631,54705
ATM_0002,2023-01-14,56515,10658,60730
ATM_0002,2023-02-02,47562,11676,31152
ATM_0002,2023-02-10,67128,20044,44189
ATM_0002,2023-02-12,55244,11005,35992
ATM_0002,2023-02-19,103140,15286,119962
ATM_0002,2023-02-22,24046,16669,12233
ATM_0002,2023-03-08,49751,13416,29677
ATM_0002,2023-03-18,62170,4258,54811
ATM_0002,2023-03-27,79599,23926,81350
ATM_0002,2023-04-16,55140,12283,50909
ATM_0002,2023-04-22,53643,0,46900
ATM_0002,2023-04-23,45458,13302,27544
ATM_0002,2023-04-27,42797,10150,40740
ATM_0002,2023-05-05,51347,5958,37737
ATM_0002,2023-05-10,112335,23942,101274
ATM_0002,2023-05-11,71409,7902,56099
ATM_0002,2023-05-12,43120,5974,38024
ATM_0002,2023-05-14,51498,7525,41016
ATM_0002,2023-05-19,45434,8435,40873
ATM_0002,2023-05-24,41326,11475,29663
ATM_0002,2023-05-25,34892,10841,29440
ATM_0002,2023-06-05,56461,7104,52591
ATM_0002,2023-06-07,43312,12595,26606
ATM_0002,2023-06-17,42613,11386,36928
ATM_0002,2023-06-19,42731,697,49091
ATM_0002,2023-06-24,47235,8970,40869
ATM_0002,2023-06-26,75051,10154,72639
ATM_0002,2023-06-27,67815,11416,56928
ATM_0002,2023-07-01,51597,10988,47895
ATM_0002,2023-07-05,28140,20201,13257
ATM_0002,2023-07-07,98152,17293,75441
ATM_0002,2023-07-21,26416,8462,19053
ATM_0002,2023-07-30,34433,17383,20807
ATM_0002,2023-08-02,78939,9486,81556
ATM_0002,2023-08-04,53345,10052,43154
ATM_0002,2023-08-08,60251,14303,46173
ATM_0002,2023-08-12,47548,10904,35016
ATM_0002,2023-08-24,62269,9649,46081
ATM_0002,2023-09-18,43252,3440,38492
ATM_0002,2023-10-08,51640,13628,48067
ATM_0002,2023-10-11,60368,6233,58329
ATM_0002,2023-10-23,57575,896,66406
ATM_0002,2023-10-24,69475,4562,67729
ATM_0002,2023-10-27,46310,12233,29723
ATM_0002,2023-10-31,38808,17011,18491
ATM_0002,2023-11-01,40915,11391,27930
ATM_0002,2023-11-06,50007,13006,35283
ATM_0002,2023-11-07,31283,7799,23373
ATM_0002,2023-11-17,61717,8923,45217
ATM_0002,2023-11-19,43491,18610,37138
ATM_0002,2023-11-25,75191,24261,62204
ATM_0002,2023-11-27,52568,7753,38582
ATM_0002,2023-12-02,40526,11265,46948
ATM_0002,2023-12-12,29092,10178,19123
ATM_0002,2023-12-22,56592,13894,56318
ATM_0002,2024-01-01,47358,10414,41391
ATM_0003,2022-01-01,28640,10892,20161
ATM_0003,2022-01-13,22984,13945,7637
ATM_0003,2022-01-24,21037,7569,21341
ATM_0003,2022-01-30,56440,24446,53324
ATM_0003,2022-01-31,52123,12376,41385
ATM_0003,2022-02-01,60926,31218,29044
ATM_0003,2022-02-02,53628,2179,48006
ATM_0003,2022-02-03,50269,0,59774
ATM_0003,2022-02-13,42084,4363,41276
ATM_0003,2022-03-02,19641,2473,15140
ATM_0003,2022-03-03,66881,5496,73782
ATM_0003,2022-03-16,48191,3299,43556
ATM_0003,2022-03-18,44123,5387,42424
ATM_0003,2022-04-06,39435,12785,29940
ATM_0003,2022-04-07,45098,12324,39166
ATM_0003,2022-04-18,81317,20818,63775
ATM_0003,2022-05-10,50888,10990,38343
ATM_0003,2022-05-12,72126,9032,56259
ATM_0003,2022-05-24,117810,23117,101889
ATM_0003,2022-05-25,49083,11002,36994
ATM_0003,2022-06-06,48846,24668,18484
ATM_0003,2022-06-09,69057,6107,58668
ATM_0003,2022-06-27,53302,9448,53125
ATM_0003,2022-07-09,55712,13490,34790
ATM_0003,2022-07-12,46099,8921,36420
ATM_0003,2022-07-17,60559,10603,46784
ATM_0003,2022-07-18,36023,11411,25505
ATM_0003,2022-08-02,27125,13471,14901
ATM_0003,2022-08-06,46798,16161,32731
ATM_0003,2022-08-22,42189,0,42935
ATM_0003,2022-08-24,61082,13076,60751
ATM_0003,2022-08-26,51298,9221,35629
ATM_0003,2022-08-27,48664,7210,51885
ATM_0003,2022-09-09,26879,14877,11328
ATM_0003,2022-09-19,47703,12086,43890
ATM_0003,2022-09-26,46635,9652,39970
ATM_0003,2022-09-29,47319,9513,36148
ATM_0003,2022-10-04,28946,8988,24608
ATM_0003,2022-10-09,28341,9998,16750
ATM_0003,2022-10-15,40577,10494,27942
ATM_0003,2022-10-16,53945,12580,38504
ATM_0003,2022-10-22,46681,8615,41861
ATM_0003,2022-10-25,85635,24371,60042
ATM_0003,2022-10-28,45444,15863,29626
ATM_0003,2022-11-02,34871,186,28285
ATM_0003,2022-11-06,124752,15195,130733
ATM_0003,2022-11-20,65464,14656,63076
ATM_0003,2022-11-25,51769,6809,39730
ATM_0003,2022-11-26,52821,5744,53042
ATM_0003,2022-12-02,54962,2680,51307
ATM_0003,2022-12-04,53217,5376,54762
ATM_0003,2022-12-05,135111,22152,126199
ATM_0003,2022-12-08,41776,19617,28212
ATM_0003,2022-12-14,55228,9374,38679
ATM_0003,2022-12-26,49365,9069,43230
ATM_0003,2022-12-27,64726,8375,46828
ATM_0003,2023-01-04,48071,590,40362
ATM_0003,2023-01-06,63825,8894,45802
ATM_0003,2023-01-11,53225,5951,59578
ATM_0003,2023-01-17,48775,11535,36817
ATM_0003,2023-01-22,96474,8709,106714
ATM_0003,2023-01-26,50988,18325,28982
ATM_0003,2023-02-02,19315,10605,14027
ATM_0003,2023-02-11,77680,15143,71513
ATM_0003,2023-02-14,59946,14848,50523
ATM_0003,2023-03-05,28504,20958,12554
ATM_0003,2023-03-10,63309,13416,55128
ATM_0003,2023-03-14,56919,12776,41603
ATM_0003,2023-04-06,49176,11427,39446
ATM_0003,2023-04-16,47105,1089,52357
ATM_0003,2023-04-18,48777,6621,60948
ATM_0003,2023-04-19,39229,7060,36748
ATM_0003,2023-04-29,45234,4442,54229
ATM_0003,2023-05-12,66114,8512,64579
ATM_0003,2023-05-18,83851,10803,86571
ATM_0003,2023-05-19,38892,14324,34109
ATM_0003,2023-05-23,27608,15158,22841
ATM_0003,2023-05-25,62191,23978,48779
ATM_0003,2023-06-04,109498,23835,98719
ATM_0003,2023-06-10,88141,12093,90778
ATM_0003,2023-06-30,40378,15553,33559
ATM_0003,2023-07-20,30519,1909,26590
ATM_0003,2023-08-03,79000,11283,63205
ATM_0003,2023-08-05,58375,19283,44580
ATM_0003,2023-08-08,39213,20249,17320
ATM_0003,2023-08-29,58444,10403,60562
ATM_0003,2023-08-30,35683,4024,25764
ATM_0003,2023-09-06,22131,13193,10884
ATM_0003,2023-09-25,38332,14678,22113
ATM_0003,2023-10-07,51524,18910,43427
ATM_0003,2023-10-12,40507,17031,25449
ATM_0003,2023-10-17,31332,12249,32711
ATM_0003,2023-10-21,42527,7824,33923
ATM_0003,2023-10-28,66090,11896,76159
ATM_0003,2023-11-04,40110,9564,40463
ATM_0003,2023-11-22,68640,14181,53963
ATM_0003,2023-11-24,30926,9754,25258
ATM_0003,2023-12-11,52213,2799,48170
ATM_0003,2023-12-14,112044,18482,89602
ATM_0003,2023-12-22,45061,3458,41142
ATM_0004,2022-01-03,52170,16388,50260
ATM_0004,2022-01-08,50911,6162,52270
ATM_0004,2022-01-14,41969,11792,35715
ATM_0004,2022-01-27,54813,5060,45752
ATM_0004,2022-01-29,43674,2260,39267
ATM_0004,2022-03-03,55893,9879,49852
ATM_0004,2022-03-09,31959,5049,24103
ATM_0004,2022-03-13,43904,17603,31063
ATM_0004,2022-03-14,27942,3686,28940
ATM_0004,2022-03-20,37365,9600,30405
ATM_0004,2022-03-23,87547,7580,76465
ATM_0004,2022-04-01,30029,8901,24896
ATM_0004,2022-04-08,61626,17556,58835
ATM_0004,2022-04-19,46635,14297,31466
ATM_0004,2022-04-23,53063,6559,55503
ATM_0004,2022-04-27,75415,24251,53518
ATM_0004,2022-05-09,103621,23826,97587
ATM_0004,2022-05-10,49479,11171,33011
ATM_0004,2022-05-16,63143,12870,55951
ATM_0004,2022-06-06,45784,5840,45832
ATM_0004,2022-06-19,45109,0,44435
ATM_0004,2022-07-06,29294,7924,20914
ATM_0004,2022-07-21,49878,9871,35795
ATM_0004,2022-07-23,64503,6384,60136
ATM_0004,2022-07-27,50103,5382,60113
ATM_0004,2022-08-05,47754,10968,40183
ATM_0004,2022-08-06,56450,12156,44973
ATM_0004,2022-08-10,52378,15877,47991
ATM_0004,2022-08-19,45535,11466,33726
ATM_0004,2022-08-24,30151,2900,27136
ATM_0004,2022-09-05,53126,0,62912
ATM_0004,2022-09-13,28914,14440,12106
ATM_0004,2022-09-28,23083,4393,21234
ATM_0004,2022-10-05,47849,12178,30510
ATM_0004,2022-10-22,65662,12919,62761
ATM_0004,2022-10-23,56147,9142,47829
ATM_0004,2022-10-25,50967,122,53763
ATM_0004,2022-10-29,67657,10683,59039
ATM_0004,2022-11-05,40259,11476,35209
ATM_0004,2022-11-08,43395,7842,36173
ATM_0004,2022-11-29,47586,4058,52360
ATM_0004,2022-12-14,36191,17581,15883
ATM_0004,2022-12-18,78032,12098,73214
ATM_0004,2022-12-19,42631,13372,40302
ATM_0004,2022-12-21,34311,10586,31131
ATM_0004,2023-01-01,40183,13147,34379
ATM_0004,2023-01-05,75323,13467,76091
ATM_0004,2023-01-12,67324,10968,63651
ATM_0004,2023-01-13,62303,14086,50163
ATM_0004,2023-01-22,5692,7384,7060
ATM_0004,2023-01-28,60757,7178,62374
ATM_0004,2023-02-05,46915,18740,29543
ATM_0004,2023-02-07,61177,6442,72171
ATM_0004,2023-02-21,38276,7543,33061
ATM_0004,2023-03-06,69881,2965,69373
ATM_0004,2023-03-12,69920,9136,71678
ATM_0004,2023-03-14,47273,5293,49558
ATM_0004,2023-03-19,60164,9961,41528
ATM_0004,2023-03-30,46511,7301,46939
ATM_0004,2023-04-10,55098,0,53237
ATM_0004,2023-04-11,104380,25350,87780
ATM_0004,2023-04-13,40060,9207,37289
ATM_0004,2023-04-18,66176,5011,55837
ATM_0004,2023-04-21,36996,9851,35219
ATM_0004,2023-05-02,26571,6664,23712
ATM_0004,2023-05-23,45133,20007,23730
ATM_0004,2023-06-04,50424,13116,33750
ATM_0004,2023-06-10,56541,6241,43818
ATM_0004,2023-06-12,41504,14158,38026
ATM_0004,2023-07-07,64177,7977,65287
ATM_0004,2023-07-08,42912,6244,44470
ATM_0004,2023-07-27,46341,8584,44038
ATM_0004,2023-07-30,35445,3235,30946
ATM_0004,2023-08-01,30598,16676,22153
ATM_0004,2023-08-05,35679,5983,39194
ATM_0004,2023-08-10,45075,9749,29858
ATM_0004,2023-08-21,52908,10315,52637
ATM_0004,2023-09-27,35298,16166,23563
ATM_0004,2023-10-02,46052,15241,42307
ATM_0004,2023-10-03,63140,17363,50747
ATM_0004,2023-10-12,56146,5694,45329
ATM_0004,2023-10-19,47054,13638,30732
ATM_0004,2023-10-25,81309,6908,61282
ATM_0004,2023-10-27,57280,5754,48931
ATM_0004,2023-10-30,41591,18470,32238
ATM_0004,2023-11-08,41930,12332,41704
ATM_0004,2023-11-20,65351,14536,62509
ATM_0004,2023-11-21,63333,18300,45165
ATM_0004,2023-12-05,57502,14265,49357
ATM_0004,2023-12-09,34700,12211,17785
ATM_0004,2023-12-14,60616,7924,55564
ATM_0004,2023-12-18,45415,4062,44747
ATM_0004,2023-12-21,70305,17373,58994
ATM_0004,2023-12-26,59189,9585,55409
ATM_0004,2024-01-01,51485,7387,57834
ATM_0005,2022-01-10,18460,6632,14128
ATM_0005,2022-02-11,47754,5161,59194
ATM_0005,2022-02-16,40966,12343,34859
ATM_0005,2022-02-20,39481,14880,36224
ATM_0005,2022-02-23,49862,10303,30485
ATM_0005,2022-03-10,66957,10154,76850
ATM_0005,2022-03-14,58871,13401,56174
ATM_0005,2022-03-17,55555,11979,43797
ATM_0005,2022-03-25,37770,8172,34562
ATM_0005,2022-03-31,61722,10466,65352
ATM_0005,2022-04-16,67566,10537,72670
ATM_0005,2022-06-07,63705,11117,50985
ATM_0005,2022-06-10,38046,11855,37715
ATM_0005,2022-06-18,36280,859,30161
ATM_0005,2022-06-20,68223,5376,71542
ATM_0005,2022-06-28,43116,4912,42963
ATM_0005,2022-07-01,137146,19040,113345
ATM_0005,2022-07-02,35139,4254,32647
ATM_0005,2022-07-22,23321,11598,9611
ATM_0005,2022-07-26,59663,4927,51118
ATM_0005,2022-08-04,48970,14556,33300
ATM_0005,2022-08-06,56820,12756,58289
ATM_0005,2022-08-10,63419,108,61490
ATM_0005,2022-08-14,51217,14979,37104
ATM_0005,2022-08-17,21844,10959,10568
ATM_0005,2022-08-20,73642,0,81212
ATM_0005,2022-08-30,74943,16154,50061
ATM_0005,2022-09-07,57098,15510,58796
ATM_0005,2022-09-15,67531,10276,52934
ATM_0005,2022-09-17,67452,7522,75409
ATM_0005,2022-09-21,106453,31070,84521
ATM_0005,2022-09-22,61572,9957,53894
ATM_0005,2022-09-28,127182,19822,112333
ATM_0005,2022-10-01,67839,16667,67007
ATM_0005,2022-10-12,76390,25337,62479
ATM_0005,2022-11-04,61694,16551,48891
ATM_0005,2022-11-05,59414,8602,54594
ATM_0005,2022-11-13,52574,19270,48552
ATM_0005,2022-11-14,100435,17887,92439
ATM_0005,2022-11-18,55477,11224,50212
ATM_0005,2022-12-02,36999,16097,31390
ATM_0005,2022-12-15,69078,9720,59849
ATM_0005,2022-12-28,86882,11898,72263
ATM_0005,2023-01-04,51888,11689,40824
ATM_0005,2023-01-15,32870,9516,28325
ATM_0005,2023-01-19,29143,11027,16298
ATM_0005,2023-01-30,41053,8504,34426
ATM_0005,2023-02-04,46574,11157,32500
ATM_0005,2023-02-10,41767,13492,24065
ATM_0005,2023-02-21,51273,11692,48377
ATM_0005,2023-02-27,50939,12244,40029
ATM_0005,2023-03-06,59920,19209,47226
ATM_0005,2023-03-31,74105,8860,63070
ATM_0005,2023-04-14,33680,11910,34550
ATM_0005,2023-04-18,63815,1348,59999
ATM_0005,2023-04-30,70141,8647,55930
ATM_0005,2023-05-02,68124,7623,68256
ATM_0005,2023-05-22,44823,16943,36650
ATM_0005,2023-07-02,45730,2780,43994
ATM_0005,2023-07-10,44136,11016,52414
ATM_0005,2023-08-02,24866,5967,17758
ATM_0005,2023-08-03,35944,3352,29551
ATM_0005,2023-08-24,85324,14951,83186
ATM_0005,2023-08-27,51141,4476,46721
ATM_0005,2023-09-02,47537,11878,43979
ATM_0005,2023-09-06,52079,4569,46136
ATM_0005,2023-09-12,74478,11481,67373
ATM_0005,2023-09-14,41423,0,43015
ATM_0005,2023-09-17,35895,12204,27966
ATM_0005,2023-09-24,16892,13754,5526
ATM_0005,2023-09-29,57058,8537,62313
ATM_0005,2023-10-03,54379,12228,49213
ATM_0005,2023-10-14,57985,11604,46205
ATM_0005,2023-10-23,110573,23150,80039
ATM_0005,2023-10-26,40551,11739,37139
ATM_0005,2023-11-05,36740,10662,22418
ATM_0005,2023-11-19,72955,6109,62399
ATM_0005,2023-12-02,58774,10283,55721
ATM_0005,2023-12-09,52530,10103,36434
ATM_0005,2023-12-17,50751,12779,45206
ATM_0005,2023-12-25,110009,35222,90464
ATM_0006,2022-01-08,66812,13421,46196
ATM_0006,2022-01-14,43929,14768,30751
ATM_0006,2022-01-23,41842,9349,39805
ATM_0006,2022-02-14,64188,15368,44270
ATM_0006,2022-02-18,39267,9777,32588
ATM_0006,2022-02-20,38411,7015,46158
ATM_0006,2022-03-01,46959,12213,41514
ATM_0006,2022-03-02,47107,3302,35515
ATM_0006,2022-03-09,58374,10380,50419
ATM_0006,2022-03-12,18945,10205,7612
ATM_0006,2022-03-17,69085,1725,53991
ATM_0006,2022-03-27,63392,14079,43514
ATM_0006,2022-03-29,39036,7411,38979
ATM_0006,2022-03-30,62902,9425,55843
ATM_0006,2022-04-04,51337,12222,37849
ATM_0006,2022-04-05,47164,11223,31697
ATM_0006,2022-04-06,36885,15188,27668
ATM_0006,2022-04-22,80029,10380,66479
ATM_0006,2022-04-28,62539,14975,43642
ATM_0006,2022-05-03,63151,11307,62597
ATM_0006,2022-05-05,42250,4883,38754
ATM_0006,2022-05-08,69332,20715,74616
ATM_0006,2022-05-20,52356,10343,44440
ATM_0006,2022-05-21,80452,20011,83055
ATM_0006,2022-05-24,45272,6465,38237
ATM_0006,2022-05-26,54866,980,46636
ATM_0006,2022-05-28,54711,8419,55365
ATM_0006,2022-05-29,54363,22,59493
ATM_0006,2022-06-04,53203,11281,46243
ATM_0006,2022-06-08,58658,13602,55530
ATM_0006,2022-06-27,46365,7051,44688
ATM_0006,2022-07-03,47610,6966,38337
ATM_0006,2022-07-04,58456,4427,52914
ATM_0006,2022-08-07,41278,5137,40711
ATM_0006,2022-08-23,27821,15718,17105
ATM_0006,2022-08-26,10222,13432,3042
ATM_0006,2022-08-27,30077,10984,18557
ATM_0006,2022-08-29,61495,7930,48716
ATM_0006,2022-09-01,49691,11445,48476
ATM_0006,2022-09-08,63601,7743,52591
ATM_0006,2022-09-14,52145,14248,38632
ATM_0006,2022-09-28,32687,16568,22275
ATM_0006,2022-10-06,34602,15975,13365
ATM_0006,2022-10-09,66994,16452,69806
ATM_0006,2022-10-12,42227,14969,31918
ATM_0006,2022-10-14,46226,7012,42078
ATM_0006,2022-10-18,37726,20461,22401
ATM_0006,2022-10-22,61101,8989,61723
ATM_0006,2022-10-24,85871,14836,74859
ATM_0006,2022-10-30,61994,7065,69153
ATM_0006,2022-11-03,30814,20920,14398
ATM_0006,2022-11-08,43847,17768,30721
ATM_0006,2022-11-10,56457,8208,51572
ATM_0006,2022-11-14,34967,8857,35648
ATM_0006,2022-11-26,40439,15945,34410
ATM_0006,2022-12-01,64611,14165,48128
ATM_0006,2022-12-02,72643,12170,79874
ATM_0006,2022-12-07,56506,7795,41412
ATM_0006,2022-12-08,56075,5772,42056
ATM_0006,2022-12-11,36804,15416,27081
ATM_0006,2022-12-15,53398,16489,46310
ATM_0006,2022-12-16,47941,12817,33265
ATM_0006,2022-12-24,30635,7965,32881
ATM_0006,2022-12-27,71305,17567,53859
ATM_0006,2022-12-28,63540,0,74411
ATM_0006,2023-01-07,71831,2159,62925
ATM_0006,2023-01-14,52260,6512,48105
ATM_0006,2023-01-25,46613,7278,49358
ATM_0006,2023-02-05,76076,26264,67451
ATM_0006,2023-02-09,131499,22789,122959
ATM_0006,2023-02-14,64014,3090,60183
ATM_0006,2023-03-02,53005,17793,34024
ATM_0006,2023-03-03,53842,15966,36347
ATM_0006,2023-03-04,51609,2433,47192
ATM_0006,2023-04-06,51699,2808,51008
ATM_0006,2023-05-06,57149,11326,63630
ATM_0006,2023-05-19,66238,6699,64900
ATM_0006,2023-05-20,80287,9893,70951
ATM_0006,2023-05-22,71474,9737,74696
ATM_0006,2023-05-27,49756,7024,52085
ATM_0006,2023-06-01,57842,7131,52993
ATM_0006,2023-06-02,63727,8845,46815
ATM_0006,2023-06-08,27215,12522,16968
ATM_0006,2023-06-13,68566,4709,65333
ATM_0006,2023-07-01,47827,18100,32866
ATM_0006,2023-07-03,48362,8347,40518
ATM_0006,2023-07-07,66638,6948,75068
ATM_0006,2023-07-24,76172,22024,66849
ATM_0006,2023-08-06,52806,7308,48053
ATM_0006,2023-08-08,114099,24244,105677
ATM_0006,2023-08-09,52117,1761,52590
ATM_0006,2023-08-11,53286,7623,38102
ATM_0006,2023-08-18,35265,2142,33245
ATM_0006,2023-08-19,44581,10612,32111
ATM_0006,2023-08-20,53366,15235,38810
ATM_0006,2023-08-30,52161,13948,34375
ATM_0006,2023-09-04,40823,9814,41989
ATM_0006,2023-09-05,46713,11178,28712
ATM_0006,2023-09-08,21834,20555,5649
ATM_0006,2023-09-12,44713,20741,44911
ATM_0006,2023-09-16,89147,22577,64938
ATM_0006,2023-09-19,27384,16307,12935
ATM_0006,2023-09-21,50645,7129,50154
ATM_0006,2023-09-22,45188,3189,51606
ATM_0006,2023-10-05,67442,14250,68323
ATM_0006,2023-10-06,47918,0,38602
ATM_0006,2023-10-09,48238,14365,36501
ATM_0006,2023-10-12,147335,41622,126652
ATM_0006,2023-10-28,41590,9485,36355
ATM_0006,2023-10-29,26074,344,26673
ATM_0006,2023-11-10,21261,7807,15690
ATM_0006,2023-11-17,32808,14376,36990
ATM_0006,2023-11-25,22336,10578,14913
